date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-06-07,ai-for-learning-experience-design,01-two-layers-of-change,6159,14,5,yes,4,no,"Assisted and unassisted performance as different constructs that can move in opposite directions in one condition",0
2026-06-07,ai-for-learning-experience-design,02-the-crutch-effect,6394,18,4,yes,2,no,"The help-request decision model: locally rational requests accumulating into a ruinous policy; awareness non-protective",3
2026-06-07,ai-for-learning-experience-design,03-the-scaffold,6478,13,4,yes,2,no,"Contingency-fading-transfer as the structural difference between help that builds capability and help that absorbs it",0
2026-06-07,ai-for-learning-experience-design,04-reading-the-evidence,5738,20,4,yes,5,no,"Endpoint divergence: assisted-only evaluation is structurally incapable of detecting a crutch",1
2026-06-07,ai-for-learning-experience-design,05-ai-as-design-partner,5740,16,7,yes,2,no,"Fixation displacement: the AI's output distribution substituting for the designer's own while feeling helpful",0
2026-06-07,ai-for-learning-experience-design,06-designing-tutoring-interactions,5995,14,3,yes (truncated to ~1.2k on disk),2,partial,"Designed withholding under contingency: the answer placed into the prompt precisely so it can be withheld",0
2026-06-07,ai-for-learning-experience-design,07-adaptive-systems,5786,23,6,yes,1,no,"The BKT Bayesian update hand-walked to P(mastery), with the over-practice branch planted for Ch8",2
2026-06-07,ai-for-learning-experience-design,08-algorithmic-routing-and-equity,6003,16,6,yes,3,no,"The proxy-driven remedial feedback loop: behavioral proxies reconstructing income and compounding task-diet divergence",0
2026-06-07,ai-for-learning-experience-design,09-ai-generated-content-and-feedback,5762,12,10,yes (truncated to ~1.2k on disk),1,partial,"The proxy-construct gap in automated evaluation: why explicit-criteria feedback automates and tacit judgment does not",1
2026-06-07,ai-for-learning-experience-design,10-assessment-redesign,6138,16,3,yes,1,no,"Kane's four-inference validity chain with GenAI breaking the extrapolation link; repairs keyed per broken inference",2
2026-06-07,ai-for-learning-experience-design,11-trust-transparency,6437,15,4,yes,3,no,"The cue-as-claim mechanism: each anthropomorphic cue is an epistemic claim the system cannot honor",1
2026-06-07,ai-for-learning-experience-design,12-agentic-ai,6743,12,6,yes (truncated to ~1.2k on disk),1,partial,"The L0-L3 authority ladder with stakes x reversibility as the autonomy ceiling, scoped per action type",0
2026-06-07,ai-for-learning-experience-design,13-ai-literacy-developmental-calibration,5700,15,9,yes,2,no,"Objective-indexed appropriate reliance: even correct AI help is inappropriate when the objective requires unassisted practice",5
2026-06-07,ai-for-learning-experience-design,14-evaluating-ai-mediated-learning,5809,16,9,yes,2,no,"The assisted/unassisted dissociation as a construct-validity error: assisted scores are denominated in human+AI units",4
2026-06-07,ai-for-learning-experience-design,15-the-full-integration,6013,14,9,yes (truncated to ~1.2k on disk),0,partial,"The withdrawal claim as the genre-defining element absent from the safety-case/model-card documentation lineage",3
